putativeCellType,geneticLine,acgPeak,troughtToPeak,brainRegion,lightResponse,rateDuringRipples,preferedThetaphase,thetaModulation,sessionName
Pyramidal Cell,id2/dlx/ai80,2.22,0.766666666666667,CA1sp,0,16.6637808131538,2.80711520953562,0.196574645347636,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.733333333333333,CA1sp,0,9.55657574611024,2.71872092730898,0.118556510292082,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.75,CA1sp,0,7.95967421084949,3.30452131561832,0.162869097283896,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.75,CA1sp,0,11.7422348771665,2.2013463922121,0.184961811220723,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,1.78,0.291666666666667,CA1sp,0,6.31906076222698,3.3798569030464,0.171228891584292,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,1.86,0.35,CA1sp,0,28.7937047070778,3.11563454120896,0.200011535173001,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.733333333333333,CA1sp,0,10.0275482615608,2.70149248602373,0.149038921949439,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.775,CA1sp,0,9.65704941411968,3.10801919675633,0.127219629500069,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.725,CA1sp,0,1.38882464757449,2.36961655947556,0.179575125414055,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.758333333333333,CA1sp,0,11.4442051799381,3.04624059785834,0.324911554742906,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.3,0.758333333333333,CA1sp,0,11.5572759768288,2.66775342182499,0.283504712077929,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.741666666666667,CA1sp,0,0.722438154792264,2.92214894777667,0.16222952733745,fnkx8_200911_sess19
